sequence,AccelerometerX,AccelerometerY,AccelerometerZ
484,1473,534,-4221
485,1380,534,-4260
486,1380,492,-4260
487,1263,492,-4170
488,1263,639,-4059
489,1206,771,-4059
490,1206,771,-4029
491,1473,699,-4029
492,1620,699,-4023
493,1620,714,-3888
494,1647,657,-3888
495,1647,657,-3843
496,1533,567,-3843
497,1155,567,-3732
498,1155,567,-3699
499,957,504,-3699
500,957,504,-3618
501,1023,597,-3618
502,1152,597,-3567
503,1152,552,-3633
504,1209,606,-3633
505,1209,606,-3624
506,1107,645,-3624
507,1032,645,-3558
508,1032,648,-3627
509,1044,702,-3627
510,1044,702,-3714
511,1221,567,-3714
512,1314,567,-3834
513,1314,582,-3852
514,1233,624,-3852
515,1233,624,-3933
516,1092,633,-3933
517,1089,633,-4065
518,1089,630,-4155
519,1239,495,-4155
520,1239,495,-4209
521,1293,579,-4209
522,1302,579,-4038
523,1302,804,-3903
524,1263,804,-3903
525,1263,717,-4008
526,1110,591,-4008
527,954,591,-4134
528,954,486,-4098
529,948,486,-4098
530,948,567,-4158
531,987,633,-4158
532,1062,633,-4113
533,1062,795,-4044
534,1101,795,-4044
535,1101,687,-4074
536,1140,675,-4074
537,1188,675,-3933
538,1188,624,-3969
539,1398,624,-3969
540,1398,717,-3993
541,1428,801,-3993
542,1446,801,-3870
543,1446,696,-3993
544,1398,696,-3993
545,1398,630,-3984
546,1557,666,-3984
547,1515,666,-4110
548,1515,783,-4014
549,1497,783,-4014
550,1497,726,-3978
551,1398,648,-3978
552,1290,648,-3933
553,1290,630,-3963
554,1320,630,-3963
555,1320,597,-3903
556,1257,687,-3903
557,1089,687,-3879
558,1089,594,-3879
559,924,594,-3798
560,924,549,-3828
561,888,648,-3828
562,957,648,-3819
563,957,705,-3819
564,1137,705,-3744
565,1137,705,-3768
566,1161,642,-3768
567,1074,642,-3744
568,1074,576,-3744
569,1083,576,-3789
570,1083,462,-3885
571,1032,528,-3885
572,1035,528,-3807
573,1035,540,-3807
574,912,540,-3804
575,912,750,-3744
576,888,579,-3744
577,888,579,-3834
578,1053,573,-3834
579,1314,573,-3777
