sequence,AccelerometerX,AccelerometerY,AccelerometerZ
602,63,4059,672
603,-27,4041,672
604,-48,4041,624
605,-48,4104,672
606,-84,4131,672
607,-84,4131,705
608,-240,4134,705
609,-315,4134,702
610,-315,4095,540
611,-354,4095,540
612,-333,4095,474
613,-333,3954,474
614,-402,3954,504
615,-402,3858,315
616,-333,3855,315
617,-240,3855,288
618,-240,3924,279
619,-198,3924,279
620,-198,3954,396
621,-195,4068,396
622,-267,4068,396
623,-267,4086,441
624,-357,4086,441
625,-357,4119,471
626,-348,4062,471
627,-390,4062,426
628,-390,4080,534
629,-342,4017,534
630,-342,4017,426
631,-315,4080,426
632,-282,4080,420
633,-282,4080,495
634,-270,4029,495
635,-291,4029,516
636,-291,3990,516
637,-279,3990,501
638,-279,4011,504
639,-315,3993,504
640,-336,3993,474
641,-336,4107,429
642,-366,4107,429
643,-366,4086,396
644,-324,4035,396
645,-279,4035,444
646,-279,4011,441
647,-216,4011,441
648,-216,4065,405
649,-255,4062,405
650,-210,4062,396
651,-210,4083,456
652,-165,4059,456
653,-165,4059,369
654,-144,4047,369
655,-219,4047,360
656,-219,4023,396
657,-177,3984,396
658,-141,3984,345
659,-141,4047,345
660,-96,4047,369
661,-96,4101,381
662,-63,4050,381
663,-126,4050,414
664,-126,4077,465
665,-219,4077,465
666,-219,4053,384
667,-324,4059,384
668,-360,4059,381
669,-360,4068,360
670,-306,4101,360
671,-306,4101,381
672,-237,4128,381
673,-210,4128,375
674,-210,4152,381
675,-210,4152,381
676,-210,4152,426
677,-228,4125,426
678,-264,4125,399
679,-264,4059,369
680,-267,4074,369
681,-279,4074,390
682,-279,4086,390
683,-258,4086,330
684,-258,4161,336
685,-237,4149,336
686,-189,4149,354
687,-189,4008,384
688,-222,4008,384
689,-222,3987,303
690,-231,4092,303
691,-213,4092,234
692,-213,4098,336
693,-255,4098,336
694,-255,4080,315
695,-273,4005,315
696,-267,4005,429
697,-267,4026,420
698,-219,4110,420
699,-219,4110,369
700,-252,4131,369
701,-165,4131,384
702,-165,4125,426
703,-111,4146,426
704,-141,4146,399
705,-141,4095,399
706,-108,4095,381
707,-108,4059,345
708,-108,4077,345
709,-183,4077,351
710,-183,4092,384
711,-165,4092,384
712,-165,4059,396
713,-216,4092,396
714,-222,4092,339
715,-222,4053,375
716,-219,4077,375
717,-219,4077,369
718,-201,4101,369
719,-177,4101,300
720,-177,4110,369
721,-228,4128,369
722,-228,4128,339
723,-240,4092,339
724,-240,4092,309
725,-240,4050,315
726,-255,4026,315
727,-297,4026,336
728,-297,4053,336
729,-348,4053,339
730,-348,4059,303
731,-339,4035,303
732,-318,4035,273
733,-318,4014,369
734,-219,4014,369
735,-219,4035,354
736,-228,4053,354
737,-198,4053,351
738,-198,4098,351
739,-186,4065,351
740,-186,4065,390
741,-213,4026,390
742,-171,4026,339
743,-171,4041,354
744,-180,4062,354
745,-180,4062,420
746,-171,4101,420
747,-186,4101,354
748,-186,4095,309
749,-144,4068,309
750,-126,4068,396
751,-126,4029,396
752,-102,4029,399
753,-102,4047,360
754,-129,4092,360
755,-186,4092,390
756,-186,4059,324
757,-141,4059,324
758,-141,4083,345
759,-129,4116,345
760,-153,4116,381
761,-153,4086,354
762,-186,4086,354
763,-186,4092,285
764,-246,4062,285
765,-267,4062,321
766,-267,4062,345
767,-237,4059,345
768,-237,4059,351
769,-237,4074,351
770,-231,4074,336
771,-231,4140,429
772,-288,4092,429
773,-288,4092,339
774,-285,4080,339
775,-321,4080,426
776,-321,4014,459
777,-336,4038,459
778,-333,4038,486
779,-333,4083,486
780,-369,4083,426
781,-369,4047,444
782,-324,3990,444
783,-270,3990,375
784,-270,4032,399
785,-204,4032,399
786,-204,3972,546
787,-291,4107,546
788,-246,4107,576
789,-246,4146,606
790,-255,4146,606
791,-255,4032,642
792,-339,3999,642
793,-429,3999,735
794,-429,4023,936
795,-540,4146,936
796,-540,4146,972
797,-675,4143,972
798,-663,4143,1086
799,-663,4257,1221
800,-618,4215,1221
801,-636,4215,1263
802,-636,4332,1263
803,-699,4332,1323
804,-699,4290,1368
805,-600,4293,1368
806,-612,4293,1443
807,-612,4311,1638
808,-486,4311,1638
809,-486,4383,1635
810,-495,4431,1635
811,-459,4431,1755
812,-459,4371,1893
813,-495,4371,1893
814,-495,4371,1941
815,-369,4365,1941
816,-411,4365,2136
817,-411,4569,2205
818,-480,4698,2205
819,-480,4698,2175
820,-612,4665,2175
821,-723,4665,2235
822,-723,4575,2277
823,-780,4542,2277
824,-801,4542,2415
825,-801,4536,2415
826,-729,4536,2412
827,-729,4611,2391
828,-762,4716,2391
829,-876,4716,2475
830,-876,4632,2520
831,-843,4632,2520
832,-843,4569,2607
833,-894,4674,2607
834,-993,4674,2583
835,-993,4647,2490
836,-930,4647,2490
837,-930,4479,2475
838,-1023,4137,2475
839,-861,4137,2496
840,-861,4059,2532
841,-975,4131,2532
842,-975,4131,2412
843,-855,3771,2412
844,-786,3771,2421
845,-786,3618,2505
846,-852,3753,2505
847,-852,3753,2577
848,-366,3675,2577
849,-396,3675,2751
850,-396,3609,2853
851,-372,3519,2853
852,-477,3519,2766
853,-477,3108,2766
854,-699,3108,3042
855,-699,3123,3072
856,-546,3057,3072
857,21,3057,3234
858,21,3093,3204
859,-213,3093,3204
860,-213,2832,3288
861,-324,2505,3288
862,-876,2505,3303
863,-876,2340,3360
864,-993,2340,3360
865,-993,2085,3348
866,-975,2055,3348
867,-960,2055,3339
868,-960,2109,3354
869,-858,1941,3354
870,-858,1941,3495
871,-693,1656,3495
872,-618,1656,3468
873,-618,1662,3294
874,-753,1476,3294
875,-696,1476,3330
876,-696,1476,3330
877,-837,1476,3333
878,-837,1191,3309
879,-717,1131,3309
880,-453,1131,3189
881,-453,966,3174
882,-252,966,3174
883,-252,984,3114
884,-369,723,3114
885,-339,723,3069
886,-339,351,2982
887,-288,351,2982
888,-288,228,3012
889,-348,321,3012
890,-258,321,2943
891,-258,177,2982
892,-117,6,2982
893,-117,6,2922
894,12,-63,2922
895,186,-63,2934
896,186,-147,2934
897,252,-150,2934
898,252,-150,2889
899,90,-291,2889
900,12,-291,2658
901,12,-381,2712
902,9,-561,2712
903,-33,-561,2658
904,-33,-552,2658
905,42,-552,2616
906,42,-507,2541
907,108,-636,2541
908,-27,-636,2487
909,-27,-858,2511
910,-63,-858,2511
911,-63,-816,2517
912,-93,-741,2517
913,-27,-741,2547
914,-27,-753,2481
915,-90,-894,2481
916,-90,-894,2397
917,-30,-720,2397
918,117,-720,2430
919,117,-504,2427
920,87,-492,2427
921,87,-492,2568
922,-201,-849,2568
923,-393,-849,2601
924,-393,-630,2742
925,-213,-249,2742
926,63,-249,2769
927,63,264,2769
928,-93,264,2988
929,-93,-27,2988
930,-264,-90,2988
931,-477,-90,2997
932,-477,78,2862
933,-555,78,2862
934,-555,210,2811
935,-369,522,2811
936,-543,522,2898
937,-543,414,2967
938,-744,414,2967
939,-744,465,2979
940,-855,507,2979
941,-939,507,2811
942,-939,927,2964
943,-930,1077,2964
944,-930,1077,2997
945,-798,1263,2997
946,-531,1263,3174
947,-531,1578,3225
948,-891,1371,3225
949,-891,1371,3144
950,-1047,1416,3144
951,-1131,1416,3300
952,-1131,1602,3339
953,-858,1863,3339
954,-528,1863,3339
955,-528,2163,3339
956,-540,2163,3363
957,-540,2202,3444
958,-351,2202,3444
959,-525,2202,3435
960,-525,2529,3345
961,-702,2529,3345
962,-702,2487,3159
963,-885,2520,3159
964,-1044,2520,3054
965,-1044,2871,3273
966,-936,2871,3273
967,-936,2982,3048
968,-258,3270,3048
969,297,3270,2757
970,297,3573,2811
971,-57,2724,2811
972,-57,2724,3057
973,-594,3309,3057
974,-765,3309,3228
975,-765,3585,3204
976,-402,4347,3204
977,-999,4347,2877
978,-999,3864,2877
979,-1254,3864,3204
980,-1254,3870,3324
981,-1215,4428,3324
982,-1185,4428,3249
983,-1185,4365,2919
984,-1104,4365,2919
985,-1104,4134,2673
986,-1161,3960,2673
987,-1044,3960,2898
988,-1044,3999,2862
989,-849,3999,2862
990,-849,4302,2883
991,-1041,4305,2883
992,-1611,4305,2793
993,-1611,4095,2511
994,-1908,3804,2511
995,-1908,3804,2862
996,-2094,4209,2862
997,-1386,4209,2967
998,-1386,4425,2817
999,-1242,4545,2817
1000,-960,4545,2550
1001,-960,4269,2550
1002,-1161,4269,2391
1003,-1161,4350,2124
1004,-1119,4083,2124
1005,-1011,4083,1986
1006,-1011,4275,1749
1007,-762,4275,1749
1008,-762,4257,1620
1009,-651,4062,1620
1010,-540,4062,1557
1011,-540,3915,1383
1012,-327,3915,1383
1013,-327,4053,1308
1014,-162,4134,1308
1015,-108,4134,1248
1016,-108,4227,1143
1017,-147,4149,1143
1018,-147,4149,1038
1019,-144,3891,1038
1020,-309,3891,1071
1021,-309,3888,1113
1022,-246,4161,1113
1023,-246,4161,1092
1024,-351,4041,1092
1025,-459,4041,1047
1026,-459,4056,1023
1027,-183,3957,1023
1028,141,3957,1146
1029,141,4350,1299
1030,234,4350,1299
1031,234,4413,1107
1032,294,4428,1107
1033,159,4428,951
1034,159,4212,837
1035,-189,4212,837
1036,-189,3696,1167
1037,-1080,3852,1167
1038,-1386,3852,951
1039,-1386,4044,840
1040,-1320,4302,840
1041,-1320,4302,741
1042,-711,4281,741
1043,-120,4281,711
1044,-120,4092,942
1045,-63,3879,942
1046,-63,3879,927
1047,9,4254,927
1048,-120,4254,825
1049,-120,4236,741
1050,-327,3990,741
1051,-357,3990,681
1052,-357,3951,681
1053,-360,3951,675
1054,-360,4011,687
1055,-336,4026,687
1056,-201,4026,642
1057,-201,4230,672
1058,-141,4230,672
1059,-141,4266,501
1060,-171,4074,501
1061,-165,4074,426
1062,-165,3936,288
1063,-165,3936,288
1064,-165,3957,228
1065,288,4035,228
1066,393,4035,135
1067,393,4029,84
1068,450,4074,84
1069,450,4074,18
1070,399,3984,18
1071,243,3984,15
1072,243,4140,-93
1073,69,4065,-93
1074,-186,4065,-153
1075,-186,3861,-153
1076,-429,3861,-147
1077,-429,3786,-21
1078,180,4266,-21
1079,30,4266,9
1080,30,4326,15
1081,60,4326,15
1082,60,4314,78
1083,-177,4194,78
1084,-321,4194,18
1085,-321,3939,-51
1086,-387,3939,-51
1087,-387,3888,-102
1088,-456,3879,-102
1089,-294,3879,-198
1090,-294,4143,-402
1091,-66,4317,-402
1092,-66,4317,-312
1093,750,5067,-312
1094,-408,5067,-177
1095,-408,3525,-774
1096,-495,4152,-774
1097,3,4152,-549
1098,3,4491,-549
1099,741,4491,-378
1100,741,3972,-660
1101,-462,3990,-660
1102,210,3990,-684
1103,210,4065,-669
1104,-393,4065,-669
1105,-393,4008,-789
1106,-132,4083,-789
1107,372,4083,-765
1108,372,4533,-675
1109,672,4533,-675
1110,672,4197,-678
1111,159,3591,-678
1112,-462,3591,-1230
1113,-462,3594,-1269
1114,-321,3639,-1269
1115,-321,3639,-1266
1116,-111,3759,-1266
1117,63,3759,-1230
1118,63,3993,-1125
1119,-312,4074,-1125
1120,-312,4074,-825
1121,-942,4329,-825
1122,-570,4329,-483
1123,-570,3948,-459
