sequence,AccelerometerX,AccelerometerY,AccelerometerZ
845,-342,4107,15
846,-309,4107,15
847,-309,4158,60
848,-315,4104,60
849,-342,4104,24
850,-342,4098,24
851,-363,4098,-51
852,-363,4074,-42
853,-351,4098,-42
854,-348,4098,3
855,-348,4155,3
856,-288,4155,39
857,-288,4083,3
858,-291,4047,3
859,-291,4047,-66
860,-336,4044,-66
861,-357,4044,-27
862,-357,4014,-18
863,-354,4056,-18
864,-354,4056,54
865,-354,4092,54
866,-273,4092,0
867,-273,4128,-12
868,-288,4107,-12
869,-288,4107,-36
870,-252,4086,-36
871,-312,4086,-33
872,-312,4080,-57
873,-321,4098,-57
874,-321,4098,-48
875,-243,4083,-48
876,-222,4083,-108
877,-222,4110,-102
878,-171,4110,-102
879,-171,4104,-72
880,-288,4080,-72
881,-306,4080,-21
882,-306,4098,18
883,-300,4098,18
884,-300,4089,39
885,-324,4110,39
886,-378,4110,9
887,-378,4104,48
888,-405,4104,48
889,-405,4098,18
890,-366,4065,18
891,-375,4065,15
892,-375,4104,15
893,-360,4104,63
894,-360,4089,45
895,-393,4092,45
896,-384,4092,15
897,-384,4095,15
898,-360,4095,-18
899,-360,4062,-21
900,-381,4065,-21
901,-381,4065,-18
902,-375,4080,-18
903,-423,4080,-36
904,-423,4131,-27
905,-408,4083,-27
906,-408,4083,-18
907,-285,4077,-18
908,-342,4077,-87
909,-342,4104,-36
910,-447,4083,-36
911,-447,4083,-72
912,-462,4092,-72
913,-318,4092,-81
914,-318,4044,-108
915,-213,4044,-108
916,-213,4032,-87
917,-201,4050,-87
918,-324,4050,-33
919,-324,4041,-102
920,-357,4041,-102
921,-357,3981,-93
922,-294,4053,-93
923,-216,4053,-72
924,-216,4062,-33
925,-255,4062,-33
926,-255,4140,0
927,-201,4074,0
928,-276,4074,-21
929,-276,3957,-21
930,-219,3957,-51
931,-219,3909,-168
932,-24,4227,-168
933,-213,4227,9
934,-213,4167,9
935,-189,4167,-87
936,-189,4206,9
937,-222,4023,9
938,-222,4023,-72
939,-273,4077,-72
940,-393,4077,-63
941,-393,4212,-36
942,-489,4086,-36
943,-489,4086,-72
944,-351,4083,-72
945,-270,4083,-72
946,-270,4092,-177
947,-288,4050,-177
948,-288,4050,-123
949,-285,4170,-123
950,-195,4170,-87
951,-195,4200,-126
952,-132,4197,-126
953,-132,4197,-21
954,-150,4032,-21
955,-219,4032,-102
956,-219,4044,-132
957,-381,4044,-132
958,-381,4041,-192
959,-390,4038,-192
960,-264,4038,-156
961,-264,4092,-162
962,-240,4092,-162
963,-240,4191,24
964,-231,4134,24
965,-279,4134,15
966,-279,4116,-63
967,-276,4116,-63
968,-276,4044,-183
969,-273,4029,-183
970,-252,4029,-213
971,-252,4074,-213
972,-255,4074,-123
973,-255,4131,-123
974,-144,4092,-123
975,-150,4092,-102
976,-150,4209,-102
977,120,4209,-168
978,120,4071,-63
979,42,4227,-63
980,-84,4227,-102
981,-84,4098,-102
982,-147,4098,-147
983,-147,4110,-231
984,-15,4050,-231
985,-15,4050,-156
986,27,4209,-156
987,246,4209,-339
988,246,4194,-453
989,549,4338,-453
990,549,4338,-291
991,654,4359,-291
992,837,4359,-327
993,837,4593,-243
994,1188,4518,-243
995,1188,4518,-237
996,1521,4341,-237
997,1671,4341,-306
998,1671,4563,-273
999,1905,4563,-273
1000,1905,4767,-348
1001,2049,4866,-348
1002,2535,4866,-318
1003,2535,4875,-549
1004,2967,4875,-549
1005,2967,5043,-537
1006,2823,4827,-537
1007,2049,4827,-642
1008,2049,4464,-873
1009,2121,4464,-873
1010,2121,4578,-858
1011,2739,4743,-858
1012,3231,4743,-864
1013,3231,5049,-864
1014,3111,5049,-813
1015,3111,5208,-954
1016,2949,4887,-954
1017,2727,4887,-954
1018,2727,4590,-954
1019,2487,4590,-798
1020,2487,4455,-825
1021,2283,4194,-825
1022,2385,4194,-693
1023,2385,4068,-693
1024,2568,4068,-447
1025,2568,3783,-504
1026,2376,3384,-504
1027,2376,3384,-534
1028,2139,3096,-534
1029,2520,3096,-489
1030,2520,3003,-459
1031,3369,3027,-459
1032,3369,3027,-354
1033,3654,3102,-354
1034,2661,3102,-246
1035,2661,2718,-444
1036,1842,2718,-444
1037,1842,2106,-543
1038,2607,1917,-543
1039,4173,1917,-519
1040,4173,2121,-291
1041,4362,2121,-291
1042,4362,1962,-171
1043,3420,1668,-171
1044,2535,1668,-81
1045,2535,1035,-186
1046,2601,1035,-186
1047,2601,525,-63
1048,2979,384,-63
1049,3300,384,99
1050,3300,675,99
1051,3474,675,129
1052,3474,402,189
1053,3384,120,189
1054,2793,120,273
1055,2793,-300,273
1056,2508,-300,225
1057,2508,-492,60
1058,2580,-750,60
1059,2580,-750,285
1060,2484,-747,285
1061,2511,-747,288
1062,2511,-648,303
1063,2556,-786,303
1064,2556,-786,135
1065,2826,-1014,135
1066,2997,-1014,78
1067,2997,-960,9
1068,3060,-882,9
1069,3060,-882,-78
1070,3300,-636,-78
1071,3669,-636,-27
1072,3669,-687,-57
1073,4002,-687,-57
1074,4002,-816,-117
1075,4029,-828,-117
1076,3747,-828,-141
1077,3747,-963,-231
1078,3729,-963,-231
1079,3729,-837,-237
1080,3822,-741,-237
1081,4017,-741,-252
1082,4017,-648,-183
1083,4140,-648,-183
1084,4140,-714,-318
1085,3999,-627,-318
1086,3846,-627,-429
1087,3846,-807,-507
1088,3942,-807,-507
1089,3942,-630,-462
1090,4236,-429,-462
1091,4407,-429,-507
1092,4407,-468,-507
1093,4494,-468,-603
1094,4494,-573,-489
1095,4299,-600,-489
1096,3963,-600,-507
1097,3963,-660,-507
1098,3930,-660,-507
1099,3930,-654,-432
1100,4128,-597,-432
1101,4128,-597,-453
1102,4209,-579,-453
1103,4209,-579,-447
1104,4209,-630,-447
1105,4089,-621,-447
1106,4089,-621,-408
1107,3996,-549,-408
1108,3972,-549,-426
1109,3972,-555,-381
1110,4122,-549,-381
1111,4122,-549,-447
1112,4155,-600,-447
1113,4089,-600,-378
1114,4089,-495,-312
1115,4014,-531,-312
1116,4014,-531,-333
1117,3981,-594,-333
1118,3951,-594,-411
1119,3951,-612,-291
1120,4014,-612,-291
1121,4014,-609,-258
1122,3963,-693,-258
1123,3702,-693,-231
1124,3702,-645,-297
1125,3618,-645,-297
1126,3618,-627,-252
1127,3525,-639,-252
1128,3684,-639,-318
1129,3684,-606,-348
1130,3729,-606,-348
1131,3729,-477,-423
1132,3798,-534,-423
1133,3915,-534,-297
1134,3915,-414,-312
1135,3876,-414,-312
1136,3876,-417,-327
1137,3822,-528,-327
1138,3822,-528,-267
1139,3822,-294,-267
1140,3765,-294,-306
1141,3765,-330,-348
1142,3780,-318,-348
1143,3852,-318,-462
1144,3852,-354,-462
1145,3798,-354,-372
1146,3798,-426,-303
1147,3771,-165,-303
1148,3771,-165,-336
1149,3867,-66,-336
1150,3789,-66,-213
1151,3789,-180,-231
1152,3687,-192,-231
1153,3687,-192,-231
1154,3507,-117,-231
1155,3420,-117,-213
1156,3420,96,-198
1157,3444,129,-198
1158,3444,129,-153
